parentid,id,body
"2376294","2376302","<p>Hint: &nbsp;let $a_n=2^{n}x_n\,$, then the recurrence becomes:</p>

<p>$$
2^{n}x_{n} = 11 \cdot 2^{n-1}x_{n-1} - 40 \cdot 2^{n-2}x_{n-2} + 48 \cdot 2^{n-3}x_{n-3} + n\cdot 2^n \\ \iff\quad 2 x_n = 11 x_{n-1}-20 x_{n-2}+12 x_{n-3}+2n 
$$</p>

<p>Let $y_n=x_n-x_{n-1}\,$, then subtracting two consecutive relations in $x_n$ gives:</p>

<p>$$
2y_n = 11 y_{n-1} -20y_{n-2}+12y_{n-3}+2 
$$</p>

<p>The latter is a standard linear recurrence with constant coefficients and ""nice"" roots for the characteristic polynomial. Solve for $y_n$, then calculate $x_n$, then $a_n$.</p>
"
"2376301","2376362","<p>You get a power series $$f(z)=\sum_k (-1)^k c_kz^k $$ (here $z=x^4$, $u(x)=f(x^4)$) with $c_0=1$, $c_k=q_1q_2·…·q_k$, $1&gt;q_{j+1}&gt;q_j\to0$ for $j\to\infty$.</p>

<p>This means that for any $N$ and $R_{N+1}=q_N^{-1}$ the partial sequence of $c_kz^k$ with $k&gt;N$ is monotonically decreasing for $0\le z&lt;R_{N+1}$. By the <a href=""https://en.wikipedia.org/wiki/Alternating_series_test"" rel=""nofollow noreferrer"">Leibniz test</a> and its error bounds, the power series converges for $0\le z&lt;R_{N+1}$ and the value of the power series is contained between the partial sums $s_{N-1}(z)$ and $s_{N}(z)$ as
\begin{align}
(-1)^N\left(f(z)-s_{N-1}(z)\right)
&amp;=\sum_{k=0}^\infty (-1)^kc_{N+k}z^{N+k} \\
&amp;=\sum_{k=0}^\infty c_{N+2j}z^{N+2j}\left(1-q_{N+2j+1}z\right) &amp;&amp;(\ &gt;0\ \ )\\
&amp;=c_{N}z^N-\sum_{k=0}^\infty c_{N+2j+1}z^{N+2j+1}\left(1-q_{N+2j+2}z\right)&amp;&amp;(\ &lt;c_{N}z^N\ ).
\end{align}</p>

<hr>

<p>In my answer <a href=""https://math.stackexchange.com/a/2348258/115115"">https://math.stackexchange.com/a/2348258/115115</a> to your previous question there are more details on this problem. For $q_k=\frac1{4k(4k-1)}$, $R=\sqrt7$ (or $N=1$, $|x|&lt;\sqrt[4\,]{R_2}=\sqrt[4\,]{56}$) you get 
$$
1-\frac{x^4}{3·4}=s_1(x^4)&lt; u(x)&lt;s_2(x^4)= 1-\frac{x^4}{3·4}\left(1-\frac{x^4}{7·8}\right)&lt;s_0(x^4)=1
$$
and the root is contained between the roots of the polynomials on both sides,
$$
2·\sqrt[4\,]{1-\frac14}&lt;x_0&lt;2·\sqrt[4\,]{1+\frac1{2(3+\sqrt7)}}.
$$</p>
"
"2376306","2376346","<p>As also noted by @bof, this is known as <a href=""https://en.wikipedia.org/wiki/Dobi%C5%84ski%27s_formula"" rel=""noreferrer"">Dobiński's formula</a>, i.e. for $x\in \mathbb{N}$, $$B_n = \frac{1}{e}\sum_{k=0}^{\infty} \frac{k^x}{k!}$$ where $B_n$ is the $n$th <a href=""https://en.wikipedia.org/wiki/Bell_number"" rel=""noreferrer"">Bell number</a>. These numbers are catalogued as <a href=""http://oeis.org/A000110"" rel=""noreferrer"">A000110</a> in the OEIS. However, for $x\notin \mathbb{N}$, the series $\sum_{k=0}^{\infty} \frac{k^x}{k!}$ is unlikely to have a closed form, although we can clearly see that the series will converge for all $x\in \mathbb{R}$ using the ratio test: $$\lim_{k\to \infty} \left\lvert \frac{k!(k+1)^x}{(k+1)!k^x}\right\rvert = \lim_{k\to \infty} \frac{(k+1)^{x-1}}{k^x} = \lim_{k\to \infty} \frac{1}{k+1}\left(\frac{k+1}{k}\right)^x = 0$$</p>
"
"2376309","2376700","<p>The scaled Bring quintic
$$x^5-\frac5nx+\frac4n=0\tag1$$
is solved by,
$$x =\frac45\,_4F_3\left(\frac{1}{5},\frac{2}{5},\frac{3}{5},\frac{4}{5};\frac{1}{2},\frac{3}{4},\frac{5}{4};n\right)$$
while the decic,
$$y^4(n y^2-5) (n y^2+5)^2 + \frac{16^2}n = 16 y^3 (2 n y^2+5)\tag2$$
is solved by,
$$y=\left(\frac45\right)^2\,\left|\,_4F_3\left(\frac{1}{5},\frac{2}{5},\frac{3}{5},\frac{4}{5};\frac{1}{2},\frac{3}{4},\frac{5}{4};n\right)\right|^2$$
with <em>absolute value</em> $|u|$. Eq $(2)$ then explains the $80$-deg since the argument $n=\sqrt{\phi}$ with <em>golden ratio</em>  is a quartic root so $10\times4\times2 = 80$. Eliminating $n$ between $(1)$ and $(2)$, easily done using <em>Mathematica</em>, we get a solvable polynomial relationship for $x,y$, implying if one is a radical (or not), then so is the other.</p>

<p>However, the <strong><em>complete</em></strong> radical parameterization to $(1)$ is known and given by the <em><a href=""http://mathworld.wolfram.com/QuinticEquation.html"" rel=""nofollow noreferrer"">Blair-Spearman quintic</a></em>,</p>

<p>$$x^5+\frac{5u^4(4v+3)}{v^2+1}x+\frac{4u^5(2v+1)(4v+3)}{v^2+1}=0\tag3$$</p>

<p>Equating coefficients between $(1)$ and $(3)$, then eliminating $v$, we get the sextic in $u$,</p>

<p>$$n=\frac{5u^2+2u+1}{4(2-u)u^5}\tag4$$</p>

<p>Thus, for any radical $n$ such that $u$ is radical, then $x$ is also a radical.</p>

<blockquote>
  <p>Example. If $n=81$, then $u=1/3$ so we know,
  $$x =\frac45\,_4F_3\left(\frac{1}{5},\frac{2}{5},\frac{3}{5},\frac{4}{5};\frac{1}{2},\frac{3}{4},\frac{5}{4};81\right)\approx 0.42429 - 0.239932 i$$
  is a radical quintic root of $x^5-\frac5{81}x+\frac4{81}=0$.</p>
</blockquote>

<p>The problem then for Reshetnikov's $80$-deg is to establish if $u$ is a radical in,</p>

<p>$$\sqrt{\phi}=\frac{5u^2+2u+1}{4(2-u)u^5}\tag5$$</p>

<p>But eq $(5)$ is a $24$-deg with integer coefficients and <em>Magma</em> says this has permutation group $G$ of order $207360000 = 2^{12} \cdot 3^4 \cdot 5^4$. Therefore it is not solvable, hence the $80$-deg root is not a radical.</p>
"
"2376310","2376314","<p>For any function $f$ from the set of primes to the set $(\mathbb N-\{0\})\cup\{\infty\}$, there is a subgroup $S_f$ of the desired sort consisting of those rational numbers expressible as reduced fractions $\frac mn$ such that, in the prime factorization of the denominator $n$, each prime $p$ occurs fewer than $f(p)$ times.  If $f$ is the constant function $1$, then $S_f=\mathbb Z$. If $f$ is the constant function $\infty$, then $S_f=\mathbb Q$.  In-between choices of $f$ give you in-between groups.  (For eample, if $f$ is the constant function $2$, then $S_f$ is the group of rational numbers with square-free denominators.)  I believe that these subgroups $S_f$ are all of the subgroups between $\mathbb Z$ and $\mathbb Q$, but I don't have a proof at the moment.</p>
"
"2376311","2376331","<p>Here's a common technique. First find any unbiased estimator for $p$. In this case, it's easy to see that, </p>

<p>$$ T(\textbf{X}) = \begin{cases}1 &amp; X_1 = 1\\
0 &amp; otherwise \end{cases} $$</p>

<p>is unbiased for $p$. By conditioning on the complete sufficient statistic, $\mathbb{E}[T(\textbf{X}) | S]$ is unbiased and must be the UMVUE by Lehmann-Scheffe. Try to find a closed form for $\mathbb{E}[T(\textbf{X}) | S]$. To get you started,</p>

<p>$$ \mathbb{E}[T(\textbf{X}) | S = s] = \mathbb{P}(X_1 = 1 | \sum\limits_{i=1}^nX_i = s) $$</p>
"
"2376323","2376338","<p>Clearly, $\sum_{r=1}^{\infty} (-1)^{r-1}r^3$ does not converge, as $\lim_{r\to \infty} (-1)^{r-1}r^3$ does not exist (and therefore does not equal $0$). Also, note that \begin{align*} \sum_{r=1}^{2n+2} (-1)^{r-1}r^3 &amp;= (-1)^{2n}(2n+1)^3+(-1)^{2n+1}(2n+2)^3+\sum_{r=1}^{2n} (-1)^{r-1}r^3 \\ &amp;= (-12n^2-18n-7)+\sum_{r=1}^{2n} (-1)^{r-1}r^3 \end{align*} Therefore, if we let $s_n := \sum_{r=1}^{2n} (-1)^{r-1}r^3$, we have $s_{n+1}-s_n = -12n^2-18n-7$ with initial condition $s_0 = 0$. The <a href=""https://en.wikipedia.org/wiki/Recurrence_relation#Solving_non-homogeneous_linear_recurrence_relations_with_constant_coefficients"" rel=""nofollow noreferrer"">method of symbolic differentiation</a> tells us that the solution to this will look like $s_n = c_3n^3+c_2n^2+c_1n+c_0$. Plugging in and solving the resulting linear system will give us $c_3 = -4$, $c_2 = -3$, and $c_1 = 0$, and the initial condition will give us $c_0 = 0$. Thus, $$\sum_{r=1}^{2n} (-1)^{r-1}r^3 = -4n^3-3n^2$$</p>
"
"2376335","2377100","<p>I'll assume this is approximating $y'(t) = f(t,y)$.  The method is 
$$
2y_{n+3} =-3 y_{n+2} + 6 y_{n+1} - y_n + 6 h f (t_{n+2}, y_{n+2})
$$
To find the (local) error, taylor expand each term:
\begin{align*}
2 y_{n+3} &amp;= 2\left( y_n + 3h y_n ' + \frac{(3h)^2}{2} y_n '' + \frac{(3h)^3}{6} y_n ''' + \frac{(3h)^4}{24} +O(h^5)\right) \\
-3 y_{n+2} &amp;= -3 \left( y_n + 2h y_n ' + \frac{(2h)^2}{2} y_n '' + \frac{(2h)^3}{6} y_n ''' + \frac{(2h)^4}{24} + O(h^5) \right) \\
6 y_{n+1} &amp;= 6 \left( y_n + h y_n ' + \frac{h^2}{2} y_n '' + \frac{h^3}{6} y_n ''' + \frac{h^4}{24} + O(h^5) \right) \\
-y_n &amp;= -y_n \\
6 h f(t_{n+2}, y_{n+2}) &amp;= 6h \left( y_n' + 2h y_n '' + \frac{(2h)^2}{2} y_n ''' + \frac{(2h)^3}{6} y_n '''' + O(h^4) \right)
\end{align*}</p>

<p>and matching the coefficients of the scheme reveals truncation error $O(h^4)$.</p>

<p>To check if it converges, we look to the root condition (i.e. apply to the test equation $y'=f(t,y)=0$, and see if the scheme is zero-stable.
$$
2 y_{n+3} = -3 y_{n+2} + 6 y_{n+1} - y_n \implies 2 r^3 = -3 r^2 + 6r -1
$$</p>

<p>One of the roots is larger than 1 in absolute value, so by Dahlquist Equivalence Theorem, the scheme does not converge (since it doesn't satisfy the root condition)</p>
"
"2376340","2376343","<p>Yes it is possible to find the inverse of a Taylor Series. You can use series reversion. It can be used to find the inverse of Taylor Series given the forward function. Here is a URL: <a href=""http://mathworld.wolfram.com/SeriesReversion.html"" rel=""nofollow noreferrer"">http://mathworld.wolfram.com/SeriesReversion.html</a></p>
"
"2376341","2376369","<p>Yes, your approach is correct. Note that $|A_i|=4\cdot 3!=24$, $|A_iA_j|=6$, $|A_iA_j A_k|=2$ and $|A_1A_2A_3A_4|=1$. Hence
$|A_{1} \cup A_{2} \cup A_{3} \cup A_{4}|$ is equal to
$$\binom{4}{1}\cdot |A_i|-\binom{4}{2}\cdot |A_iA_j|+\binom{4}{3}\cdot |A_iA_j A_k|-\binom{4}{4}\cdot |A_1A_2A_3A_4|.$$
which implies that the number of those permutations is $|U|-|A_{1} \cup A_{2} \cup A_{3} \cup A_{4}|$:
$$5!-(4\cdot 24-6\cdot 6+4\cdot 2-1)=120-(96-36+8-1)=53.$$</p>

<p>Alternative approach. Let $p(n)$ be the number of permutations of $[1,\dots,n]$ having no substring $[k,k+1]$ with $1\leq k\leq n-1$. Then  $p(1) = 1$, 
$p(2) =1$ and, for $n\geq 2$ it satisfies the recurrence 
$$p(n+1) = n p(n) + (n-1)p(n-1).$$ 
Hence $p(3)=2p(2)+p(1)=3$, $p(4)=3p(3)+2p(2)=11$ and $$p(5)=4p(4)+3p(3)=44+9=53.$$</p>
"
"2376357","2376361","<p>Suppose $e_1$, $e_2,e_3,\ldots$ is a complete orthonormal sequence in a Hilbert
space. Let $f\in H$. When is $f$, $e_2,e_3,\ldots$ also a complete orthonormal sequence?</p>

<p>We can write $f=\sum_{n}a_n e_n$ for some square-summable sequence $(a_n)$.
If $a_1=0$ then $f$, $e_2,e_3,\ldots$ isn't a complete orthonormal sequence, as its closed span avoids $e_1$. But if $a_1\ne0$
then it is a complete orthonormal sequence, as its closed span
contains $a_1e_1=f-\sum_{n=2}^\infty a_ne_n$.</p>
"
"2376359","2376390","<p>Constraints :</p>

<p>(1) going right or up and starting lower left and finishing upper right.</p>

<p>(2) going through the lower left ""$\dots$"".</p>

<p>(3) going through the upper right ""$\vdots$"".</p>

<p>Let :</p>

<p>$X$ = set of paths verifying (1).</p>

<p>$A$ = set of paths verifying (1) and (2). ($A\subset X$)</p>

<p>$B$ = set of paths verifying (1) and (3). ($B\subset X$)</p>

<p>$C$ = set of paths verifying (1) but not (2) and not (3). ($C = (A\cup B)^c = A^c \cap B^c \subset X$)</p>

<p>Then</p>

<p>$|C| = (A\cup B)^c \\= |X| - |A\cup B| \\= |X| - (|A| + |B| - |A\cap B|) \\= |X| - |A| - |B| + |A\cap B|$</p>

<p>Now we need to count. A path can be described as a word made out of the letters $u$ (up) and $r$ (right).</p>

<p>For X we have 10 u's and 10 r's for a total of 20 letters. So $|X| = 20!/(10! 10!)$.</p>

<p>Then $|A| = (9!/(4!5!))(10!/(5!5!))$</p>

<p>Then $|B| = (14!/(7!7!))(5!/(3!2!))$</p>

<p>Then $|A\cap B| = (9!/(4!5!))(4!/(2!2!))(5!/(3!2!))$</p>

<p>So I get </p>

<p>$|C| = 20!/(10! 10!) \\ -(9!/(4!5!))(10!/(5!5!)) \\- (14!/(7!7!))(5!/(3!2!)) \\+ (9!/(4!5!))(4!/(2!2!))(5!/(3!2!))$</p>

<p>(sorry for the typing mess)</p>

<p>Yes, I believe your answer is good.</p>
"
"2376371","2376378","<p><strong>Approach A.</strong></p>

<p>With (1) and (2) you can use induction.</p>

<p><strong>Approach B.</strong></p>

<p>Without (1) and (2) consider for a subinterval $I$ of a partition,  </p>

<p>$$\sup_{x,y \in I}\left|\sum_{j=1}^n c_j f_j(x) -  \sum_{j=1}^n c_j f_j(y)\right| \leqslant \sup_{x,y \in I}\sum_{j=1}^n |c_j| |f_j(x) - f_j(y)| \\ \leqslant \sum_{j=1}^n |c_j|(  \sup_{x,y \in I}|f_j(x) - f_j(y)| )$$</p>

<p>Recall that</p>

<p>$$U(P,f_j) - L(P,f_j) = \sum_{k=1}^n\sup_{x,y \in [x_{k-1},x_k]}|f_j(x) - f_j(y)| (x_k - x_{k-1}) $$</p>

<p>Now what can you say about $U(P, \sum_j c_jf) - L(P, \sum_j c_jf_j)$?</p>

<p><strong>Approach C.</strong></p>

<p>If you must use Riemann sums, note that</p>

<p>$$S(P, \sum_j c_j f_j) = \sum_{k=1}^m \sum_{j=1}^n c_j f_j(\xi_k)(x_k - x_{k-1})= \sum_{j=1}^n c_j\sum_{k=1}^mf_j(\xi_k)(x_k - x_{k-1})\\ = \sum_{j=1}^n c_j S(P, f_j)$$</p>

<p>and</p>

<p>$$\left|S(P, \sum_jc_j f_j) - \sum_{j=1}^n c_j \int_a^b f_j\right| \leqslant  \sum_{j=1}^n |c_j| \,\left|\, S(P, f_j) - \int_a^b f_j\right| $$</p>
"
"2376374","2376376","<p>This is just unique factorisation in $k[x,y]$. The elements $f=ax+by$ and $g=cx+dy$
are irreducible and non-associate as long as $ad-bc\ne0$. Therefore if
$f$ and $g$ both divide a polynomial $h$, then $fg$ also divides $h$.</p>
"
"2376377","2376564","<p>$f(x)=-x+2+\sqrt{3 x^2+4 x+5}$</p>

<p>has a minimum at $x=0.115$</p>
"
"2376379","2376447","<p>Suppose you want to find the opposite: the number of combinations that have at least one digit that occurs at least three times. Let $p_i$ be the set of 5-digit combinations that satisfy the property that the digit $i$ is repeated at least thrice. You can see that to find the opposite, you need to find $$|p_1 \cup p_2 \cup p_3 \cup p_4 \cup p_5|.$$ You can use the inclusion-exclusion principal on this. It seems intimidating, but notice that it's impossible for two or more distinct properties to occur at the same time (do you see why?) This will cut down on the computations significantly.</p>

<p>Once you find that, the answer you seek will be $$|S| -| p_1 \cup p_2 \cup p_3 \cup p_4 \cup p_5|,$$</p>

<p>where $S$ is the total amount of 5 digit combinations with no restriction.</p>
"
"2376381","2376473","<p>As iterated integrals it is abundantly clear that</p>

<p>$$\int_0^1 \left(\int_0^x f(x,y) \, dy \right)\, dx \neq \int_0^1 \left(\int_0^1 f(x,y) \, dy \right)\, dx, $$</p>

<p>the left being the volume of the prism with triangular base and the right being the larger volume of the prism with the square base.</p>

<p>If you are bringing up Fubini here, it would appear you are trying to reconcile the iterated integrals with the Riemann integral over a general region in $\mathbb{R}^2$. The basic definition of the Riemann integral is restricted to rectangular regions. It is extended for our triangular base $T \subset [0,1]^2$, say,  using the indicator function $\chi_T$ according to </p>

<p>$$\int_T f = \int_{[0,1]^2} f \chi_T$$</p>

<p>Now Fubini's theorem implies</p>

<p>$$\int_T f = \int_0^1 \left(\int_0^1 f(x,y) \chi_T\, dy \right)\, dx = \int_0^1 \left(\int_0^x f(x,y) \, dy \right)\, dx $$</p>
"
"2376384","2376504","<p>Let $z\in Z$, with $\lVert z\rVert=1$ for simplicity. Pick any $\varepsilon&gt;0$,
and let $w_0\in W$ with $\lVert w_0\rVert&lt;(1+\varepsilon)$ and $\lVert Qw_0-z_0\rVert&lt;\varepsilon$. Let $z_1=z_0-Qw_0$, so $\lVert z_1\rVert&lt;\varepsilon$.</p>

<p>Now, for $k=1$, $2$, …, assume that $z_k$ is given, and pick $w_k\in W$ with $\lVert w_k\rVert&lt;2\lVert z_k\rVert$ and $\lVert Qw_k-z_k\rVert&lt;2^{-k}\varepsilon$. Let $z_{k+1}=z_k-Qw_k$.</p>

<p>Note that $\lVert z_k\rVert&lt;2^{1-k}\varepsilon$, and so $\lVert w_k\rVert&lt;2^{2-k}\varepsilon$, for all $k\ge1$. We find therefore</p>

<p>$$z=z_0=Qw_0+z_1=Qw_0+Qw_1+z_2=\ldots=Q\sum_{k=0}^\infty w_k $$
where
$$\Bigl\lVert\sum_{k=0}^\infty w_k\rVert\le \sum_{k=0}^\infty\lVert w_k\rVert
 &lt; (1+\varepsilon)+\sum_{k=1}^\infty 2^{2-k}\varepsilon=1+5\varepsilon.$$
It follows that $Q$ is surjective, and $\lVert z\rVert\ge\inf\{\lVert w\rVert\in W\colon Qw=z\}$ for all $z\in Z$. The opposite inequality follows from $\lVert Q\rVert=1$.</p>
"
