id,acceptedanswerid,title,body
"2376301","2376362","Proof: Smallest Positive Number - Inequality.","<blockquote>
  <p>Let $x_0$ be the smallest positive number such that $u(x_0)=0$ where $u$ is the solution for<br>
  $$u=\sum_{k=0}^{\infty }a_kx^k$$$$u''+x^2u=0$$$$u(0)=1, u'(0)=0$$
  (I have  a solution for the power series).
  $$u''+x^2 u=0\implies \sum_{n=0}^\infty n(n-1)a_nx^{n-2}+\sum_{n=0}^\infty a_nx^{n+2}=0$$
   Prove that
  $$1-\frac{x^4}{12}\leq u(x)\leq 1$$
  for
  $$0\leq x\leq x_0$$$$1-\frac{x^2}{12}\leq u(x)\leq 1$$$$x\epsilon (0,x_0)$$$$u''=-x^2u$$$$u(0)=-1$$$$u(x)&gt; 0$$$$x\rightarrow x_0$$$$u''=-x^2u&lt; 0$$
  $$x\rightarrow 0 , (0,x_0)$$$$u'\rightarrow 0 ,(0,x_0)$$$$u'(0)=0$$$$u'(x)\leq u'(0)=0  ,(0,x_0)$$
   $u$ decrease in $(0,x_0)$
  $$u''=-x^2u,  (0,x_0)$$$$u=1, u''=-x^2$$$$\int \int 1-\frac{x^2}{12}dx=$$
  But where to from here?</p>
</blockquote>
"
"2376306","2376346","Does anyone know what the series $\frac{n^x}{n!}$ converges to?","<p>Most people in math are familiar with the conventional taylor series,
$$\sum_{n=0}^{\infty} \frac{x^{n}}{n!}$$ which converges to $$e^x$$</p>

<p>I came across an uncommon series from working with very unusual exponents, and even though it looks simple, I'm not sure how to approach it or much less its result. This one has k in the base in the numerator instead. I am fairly certain it converges, but to what I am not sure, it's not really the same as dealing with x^n. For this specific problem, I don't need to know the method, I am wondering only what it converges to. </p>

<p>$$\sum_{n=0}^{\infty} \frac{n^{x}}{n!} = ?$$</p>

<p>Does anyone know what this converges to?</p>
"
"2376309","2376700","Is $\left|\,_4F_3\left(\frac{1}{5},\frac{2}{5},\frac{3}{5},\frac{4}{5};\frac{1}{2},\frac{3}{4},\frac{5}{4};\sqrt{\phi }\right)\right|$ a radical?","<p>In <a href=""https://math.stackexchange.com/a/387124/4781"">this post</a>, Reshetnikov gave the enormous even $80$-deg equation satisfied by, </p>

<p>$$x=\left|\,_4F_3\left(\frac{1}{5},\frac{2}{5},\frac{3}{5},\frac{4}{5};\frac{1}{2},\frac{3}{4},\frac{5}{4};\color{blue}{\sqrt{\phi }}\right)\right|=1.2054797\dots\tag1$$
with <em>golden ratio</em> $\phi$ and <em>absolute value</em> $|u|$, though mentioned he was unsure if it has a solvable Galois group.</p>

<p>After some experimentation, it turns out an even $40$-deg equation is a satisfied by the analogous,
$$y=\left|\,_4F_3\left(\frac{1}{5},\frac{2}{5},\frac{3}{5},\frac{4}{5};\frac{1}{2},\frac{3}{4},\frac{5}{4};\,\color{blue}\phi\right)\right|=1.162132\dots\tag2$$</p>

<p>If we define $z=\big(\frac{4y}5\big)^2$, then we just have the $20$-deg,</p>

<p>$$2^{16} - 20480 z^3 - 32000 z^4 - 24576 z^5 - 25600 z^6 - 20000 z^7 - 
  13065 z^8 - 6000 z^9 - 309 z^{10} + 2800 z^{11} + 2500 z^{12} + 
  160 z^{13} + 375 z^{14} - 96 z^{15} - 100 z^{16} - 5 z^{18} + z^{20}=0$$</p>

<p>This is more manageable, and <em>Magma</em> says this has permutation group $G=2^5 \cdot3^2 \cdot 5^2 = 7200$ which is unsolvable.</p>

<blockquote>
  <p>Q: If $(2)$ has an unsolvable group, does that imply the same for $(1)$ as well?  </p>
</blockquote>
"
"2376310","2376314","subgroups of the additive group of Q containing the subgroup Z","<p>Find all those subgroups of the additive group Q which contain the subgroup Z.</p>

<p>Here Q means the set of rational numbers and Z refers to the set of integers. This problem comes from algebra written by Saunders Mac Lane and Garrett Birkhoff, the last exercise of chapter III on rings. How to solve it? Thanks.</p>
"
"2376311","2376331","Find UMVUE for p when the pdf is $f(x; p) = p(1-p)^{x - 1}$","<p>Let $x \in \mathbb{N}$, and let the pdf of the random variable $X$ be $f(x; \theta)  = p(1-p)^{x - 1}$. I want to find the UMVUE for $p$.</p>

<p>It can be shown that $f$ is in the regular exponential class and thus $S = \sum_{i=1}^n X_i$ is a sufficient and complete statistic for $p$. Thus, if I can find an unbiased estimator for $p$ involving $S$, that statistic with be a UMVUE for $p$.</p>

<p>Unfortunately, $E[S] = \frac{n}{p}$ Thus, $E\left[\bar X\right] = \frac{1}{p}$, and it is a UMVUE for $\frac{1}{p}$, but it does <em>not</em> follow that $\frac{1}{\bar X}$ is a UMVUE for $p$.</p>

<p>So then how can I get a UMVUE for $p$ from $S$?</p>
"
"2376323","2376338","Sum $\sum (-1)^{r-1}r^3$.","<p>How would I evaluate the sums $\sum_{r=1}^{2n}(-1)^{r-1}r^3$ and $\sum_{r=1}^{\infty}(-1)^{r-1}r^3$?</p>
"
"2376335","2377100","Find the **Local Truncation error** in the form of $ \ o(h^k) \ $ of the multi-step method","<p>Find the <strong>Local Truncation error</strong> in the form of $ \ o(h^k) \ $ of the multi-step method  $ 2u_{i+3} = −3u_{i+2} + 6u_{i+1} − u_i + 6hf(t_{i+2}, u_{i+2}) $. </p>

<p>Also determine it is convergent or not. </p>

<p><strong>Answer:</strong></p>

<p>The scheme is $ \ 2u_{i+3} = −3u_{i+2} + 6u_{i+1} − u_i + 6hf(t_{i+2}, u_{i+2}) $. </p>

<p>We know that $ f(t_i,u_i )=\frac{u_{i+1}-u_i}{h} ,\ by \ Taylor \ series \ $</p>

<p>Then , $ \ 2u_{i+3} = −3u_{i+2} + 6u_{i+1} − u_i +6 u_{i+3}-6u_{i+2} $, </p>

<p>or,$ \ 4u_{i+3}-9u_{i+2}+6u_{i+1}-u_i=0 $</p>

<p>or, $ 4(u_{i+3}-u_{i+2})-5(u_{i+2}-u_{i+1})+(u_{i+1}-u_i)=0 $</p>

<p>Dividing by $ h \ $ , </p>

<p>$ 4 .\frac{u_{i+3}-u_{i+2}}{h}-5. \frac{u_{i+2}-u_{i+1}}{h}+\frac{u_{i+1}-u_i}{h}=0 $ , </p>

<p>or, $ 4 u'''+o(h^4)-5 u'' +o(h^2)+u'+o(h)=0, $ </p>

<p>So the Local Truncation error is  $ \ (h^4) \ $.</p>

<p><strong>Am I right ? Is there any help ?</strong></p>
"
"2376340","2376343","If a function is defined by a taylor series, how can you derive its inverse in the form of a taylor series?","<p>Say you want to find the inverse of a function, and it's not expressible in terms of known functions, so you want to find the taylor series for that inverse. But, you at least know the taylor series for your original function f(x), defined as $$f(x)=\sum_{n=0}^{\infty} \frac{g(x,n)h(n)}{n!}$$ and it converges for a sufficient radius.
Since Taylor series stem from derivatives, and there is a theorem called the inverse function theorem that relatives derivatives to a functions' inverse 
$$(f^{-1})'(f(x))=\frac{1}{f'(x)},$$</p>

<p>is there any consequential theorem where you can derive a new Taylor series for the inverse of a function by using the original Taylor series for that original function? 
In other words, $$f^{-1}(x)=\sum_{n=0}^{\infty} \frac{???}{n!}$$</p>
"
"2376341","2376369","Find the number of rearrangements of the string 12345 in which none of the sequences 12, 23, 34, and 45 occur.","<p>My attempt: Let $A_{1}$ denote where 12 occurs, $A_{2}$ denote where 23 occurs, $A_{3}$ denote where 34 occurs, $A_{4}$ denote where 45 occurs. </p>

<p>|$A_{1} \cup A_{2} \cup A_{3} \cup A_{4}$|= |$A_{1}$|+|$A_{2}$|+|$A_{3}$|+|$A_{4}$|-(|$A_{1}A_{2}$|+|$A_{1}A_{3}$|+|$A_{1}A_{4}$|+|$A_{2}A_{3}$|+|$A_{2}A_{4}$|+|$A_{3}A_{4}$|)+|$A_{1}A_{2}A_{3}$|+|$A_{1}A_{2}A_{4}$|+|$A_{1}A_{3}A_{4}$|+|$A_{2}A_{3}A_{4}$|-|$A_{1}A_{2}A_{3}A_{4}$|</p>

<p>I don't know if I'm doing this write or not. I tried to glue the 12, 23, 34, and 45 together but I don't think this is correct. The total ways this can be done with no restrictions is |U|=5!</p>

<p>The actual answer is: 5!-[96-3+8-1]=53.</p>

<p>If someone can tell me how to get this answer that would be excellent. </p>
"
"2376357","2376361","Completeness of Modified Trigonometric System","<p>It is known that the system of functions $\{e^{inx}\}_{n \in \mathbb{Z}}$ is complete in $L^2[- \pi, \pi]$, and moreover, it is an orthonormal system.</p>

<p>What happens when you substitute one of the functions with a non integer exponent?</p>

<p>More exactly, what happens if you remove $e^{i0x}=1$ from the system, and add $e^{i0.1x}$? How can I check if the new system is complete? If $e^{i0x}=1$ can be approximated using the new system, then it is complete. How can I show this?</p>

<p>Thank you.</p>
"
"2376359","2376390","How many paths from A to B?","<p>How many paths from A = lower left corner to B = upper right corner. </p>

<blockquote>
  <p>Do not take the dotted line paths and only move either right or up.</p>
</blockquote>

<p><a href=""https://i.stack.imgur.com/7thZ5.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/7thZ5.png"" alt=""enter image description here""></a></p>

<hr>

<p>I am getting </p>

<p>$$\binom{20}{10} - \left [ \binom{9}{5}.\binom{10}{5} + \binom{14}{7}.\binom{5}{3} - \binom{9}{4}.\binom{4}{2}. \binom{5}{3}\right ]$$</p>

<p>Is this correct ?</p>
"
"2376371","2376378","Using Riemann definitions, Prove that $\int_{a}^{b} (c_1f_1+...c_nf_n) = c_1 \int_a^b f_1(x) dx + ...+ c_n\int_a^b f_n(x) dx$","<blockquote>
  <p>Prove (using Riemann's definitions) that if$ f_1,f_2,...,f_n$ are integrable on$[a,b]$ and $c_1,c_2,...c_n$ are constant then $c_1f_1+c_2f_2 + ...+c_nf_n $is integrable: $$\int_{a}^{b} (c_1f_1+c_2f_2 +...c_nf_n) = c_1 \int_a^b f_1(x) dx + c_2 \int_a^b f_2(x) dx +...+ c_n\int_a^b f_n(x) dx$$</p>
</blockquote>

<p>Let's have as assumption that it has already been proven that:</p>

<ul>
<li>1: ""If $f$ and $g$ are integrable on $[a,b]$, then so is $f+g$""</li>
<li>2: ""If $f$ is integrable on $[a,b]$ and $c$ is a constant then $cf$ is integrable  on $[a,b]$""</li>
</ul>

<p>As we know that $f_1, f_2, ... f_n$ are integrable $\forall \epsilon &gt;0$ there is a $\delta &gt; 0$ such  that
$$|\sigma_f- L_1 | &lt;\epsilon$$
and
$$||P||&lt;\delta$$
Where the limit L when $||P|| \rightarrow 0$ or $n \rightarrow \infty$
$$(b-a)\lim\limits_{ n  \rightarrow \infty}  \sum_{j=1}^{n} f_j(x) = L_1$$</p>

<p>We know as given that $cf$ is integrable, let's check if it is then so for $c_1f_1 + c_2f_2 + ... + c_nf_n$
The Rieman sum 
$$\sigma_{cf}= \sum_{j=1}^{n} c_jf_j(x) (x_j-x_{j-1})$$
$$\sigma_{cf}= c(b-a)  \sum_{j=1}^{n} f_j(x)$$
So the limit $L_2$
$$c(b-a)\lim\limits_{ n  \rightarrow \infty}  \sum_{j=1}^{n} f_j(x) = L_2$$</p>

<p>We know that $\sigma_{cf} - L_2 = c(\sigma_f - L_1)</p>

<p>$$\left|{\sigma_{cf} - L_2}\right| &lt; \epsilon_2$$
$$\left|\frac{\sigma_{cf} - L_2}{c}\right| &lt; \frac{\epsilon_2}{|c|}$$
$$\left|{\sigma_{c} - L_1}\right| &lt; \frac{\epsilon_2}{|c|} = \epsilon_1$$</p>

<p>It follows that $c_1f_1 + c_2f_2+ ...+c_nf_n$ is integrable</p>

<p>I am not too certain if my ""Riemann"" argumentation is properly done here. any input or help is greatly appreciated.</p>
"
"2376374","2376376","If $ac-bd \not= 0$, then $(ax+by) \ \cap \ (cx+dy) \ \subseteq \ (x^2,xy,y^2)?$","<p>I have a very simple ring theoretic question I got stuck on:</p>

<blockquote>
  <p>Let $k$ be a field and consider the polynomial ring $k[x,y]$.
  Let $a,b,c,d \in k$ such that $ac-bd \not= 0$. Establish the following containment of ideals:
  $$
(ax+by) \ \cap \ (cx+dy) 
\quad \subseteq \quad
(x^2,xy,y^2).
$$</p>
</blockquote>

<p>The ideal $(ax+by) \ \cap \ (cx+dy) $ can be interpreted as polynomials $f(x,y)$ that vanish on two dictinct lines through the origin. The right hand has some strange scheme-theoretic intuition that I find hard to grasp.</p>

<p>My skills in commutative algebra are to weak to solve this. I don't see how to write an element $f(x,y)$ in the intersection as a someting of the form 
$
x^2 p(x,y) + xy q(x,y) + y^2r(x,y).
$
Could you please give me some hints?</p>
"
"2376377","2376564","Extremum of a sum of polynomial and square root of polynomial","<p>Let $f(x)$ be of the form $f(x) = P_1(x)+\sqrt{P_2(x)}$, where $P_1(x)$ is a monomial $P_1(x)=ax+b$ and $P_2(x)$ is a quadratic function $P_2(x)=cx^2+dx+d$, defined on the closed interval $[0,1]$.</p>

<p>Let also $f'(0)\geq0$ and $f'(1) \geq 0$. Is this enough to say that $f(x)$ has no extrema on the interval $[0,1]$, or do I need further investigation?</p>

<p>If there weren't a square root, I would have a quadratic function so the answer would be positive.</p>

<p>But now I'm stuck with this kind of function. Could you help me please? </p>
"
"2376379","2376447","Find the number of five-digit combinations from the set $\{1,2,3,4,5\}$ in which no digit occurs more than twice.","<p>My answer: $$\binom{5}{5}_{R}-75=126-75=51$$</p>

<p>However, I want to try this using inclusion/exclusion</p>

<p>Let U be set $\{1,2,3,4,5\}$ where we want to find the number of 5-digit combination allowing repetition. Find this value using inclusion/exclusion so that:
|U|-|$A_{1}\cup A_{2}\cup A_{3}\cup A_{4}$|=|U|-75=51. </p>

<p>What I am completely stuck on is coming up with the correct |U| and |$A_{1}\cup A_{2}\cup A_{3}\cup A_{4}$|. This is what I need help on. </p>

<p>Please help me understand what I need to do. Thank you.</p>
"
"2376381","2376473","Wrong concept in Fubini's Theorem (Stronger form)","<p>Example: Find the volume of the prism whose base is the triangle in the $xy-plane$ bounded by the $x- axis$ and the lines $y=x$  and $x=1$ and whose top lies in the plane</p>

<blockquote>
  <p>$z = f(x,y) = 3-x-y$</p>
</blockquote>

<p>The above is an example from my text book. The answer, of course, is to use the Fubini's Theorem (Stronger form). i.e. Set either $y-limits$ or $x-limits$ of integration as a function x or y respectively. The remaining one will be a constant.</p>

<blockquote>
  <p><a href=""https://i.stack.imgur.com/ZBu70.png"" rel=""nofollow noreferrer"">enter image description here</a> and I understand it.</p>
</blockquote>

<p>Now, given the question, I can literally picture the base region in my head with specific limits of integration. i.e. both (x-limits and y-limits) are from 0 to </p>

<p>But, WHY can't I compute <a href=""https://i.stack.imgur.com/8JqRG.png"" rel=""nofollow noreferrer"">enter image description here</a>
(As the above gives 2 instead of 1)</p>

<p>Please help me to clear my concept T.T</p>
"
"2376384","2376504","A condition that an operator of unit norm is a quotient operator.","<p>Let $W,Z$ be Banach spaces.
An (linear, bounded) operator $Q:W\rightarrow Z$ is said to be a quotient operator if it is surjective and $\Vert z\Vert=\inf\{\Vert w\Vert:Qw=z, w\in W\}$ (so $Z=W/\operatorname{ker}Q$).</p>

<p>I wanna show that an operator $Q:W\rightarrow Z$ with $\Vert Q\Vert=1$ is a quotient operator if for every $z\in Z$ and $\epsilon&gt;0$, there is $w\in W$ such that $\Vert Qw-z\Vert&lt;\epsilon$ and $\Vert w\Vert&lt;(1+\epsilon)\Vert z\Vert$. Can you give me an idea?</p>
"
"2376388","2376834","Why is this composite of Lebesgue measurable functions Lebesgue measurable?","<p>This is Exercise 8.10 of Rudin's <em>Real and Complex Analysis</em>. Suppose $f$ is a real function on $\mathbb R^{2}$, $f_{x}$ is Lebesgue measurable for each $x$, and $f^{y}$ is continuous for each $y$. Here, $f_{x}$ and $f^{y}$ are the functions in $\mathbb R^{1}$ defined by $$f_{x}(y)=f^{y}(x)=f(x,y)$$ Suppose $g\colon \mathbb R^{1}\to \mathbb R^{1}$ is Lebesgue measurable, and put $h(y)=f(g(y),y)$. Prove that $h$ is Lebesgue measurable on $\mathbb R^{1}$.</p>

<p>I know that $f$ is Lebesgue measurable, since $f$ is the pointwise limit of a sequence of Lebesgue measurable functions, namely the functions defined by
$$ f_{n}(x,y) = f(\lfloor nx\rfloor/n,y).$$</p>

<p>But I'm not sure if this helps, since composites of Lebesgue measurable functions need not be Lebesgue measurable. Replacing $f$ with a Borel function $g$ that agrees with $f$ almost everywhere in $\mathbb R^{2}$ is also dubious, since the image of the map $y\mapsto(g(y),y)$ has measure zero. How do I proceed with this problem?</p>
"
"2376389","2376392","Why arent there 4 cases to |$a+b$|=|$x+y$|","<p>With absolute value equations, such as $|x-4| = 3$ , to turn it into a normal equation we take the 2 cases of +- from the absolute value, which I understand.</p>

<p>What I dont however, is why for say $|x-3| = |2x+5|$, we only do $x+3 = \pm(2x+5)$. Shouldn't we have to do $\pm(x+3) = \pm (2x+5)$, as both sides expand out into a $\pm$ sign (because you would have the postive on the left matching to 2 cases on the right, and negative on the left matching to 2 on the right).</p>

<p>When I searched this up, it stated that there were only 2 cases, but that greatly confused me.</p>
"
